pitcherFirstName,pitcherLastName,f0_,seasonType,year
Carlos,Frias,88.865384615384627,REG,2016
James ,Pazos,88.86440677966101,REG,2016
Brian,Flynn,88.860267314702341,REG,2016
Carlos,Martinez,88.857189119171025,REG,2016
Tyler,Chatwood,88.83947266382323,REG,2016
Anthony,Cingrani,88.830567685589543,REG,2016
Joaquin,Benoit,88.817535545023659,REG,2016
Nathan,Eovaldi,88.815074906367073,REG,2016
Marcus,Stroman,88.803696622052229,REG,2016
Matthew,Thornton,88.796491228070153,REG,2016
Brad,Brach,88.777777777777828,REG,2016
Edwin,Escobar,88.758314855875852,REG,2016
Justin,Wilson,88.755298651252417,REG,2016
Shawn,Armstrong,88.7450980392157,REG,2016
Chad,Kuhl,88.697177074422541,REG,2016
Liam,Hendriks,88.685102586975873,REG,2016
Jacob,Arrieta,88.67518703241889,REG,2016
Timothy,Butler,88.663321167883254,REG,2016
Evan,Marshall,88.660377358490578,REG,2016
James,Happ,88.6521596858638,REG,2016
Adam,Loewen,88.634920634920618,REG,2016
Jonathan,Gray,88.628232005590533,REG,2016
Steven,Geltz,88.613247863247864,REG,2016
Conor,Mullee,88.6,REG,2016
Corey,Kluber,88.594803587998925,REG,2016
Michael,Dunn,88.593243243243208,REG,2016
Logan,Ondrusek,88.57258064516131,REG,2016
Jeffrey,Samardzija,88.561790861698867,REG,2016
Thomas,Pressly,88.538645418326638,REG,2016
Keone,Kela,88.536809815950917,REG,2016
Juan,Nicasio,88.536290322580712,REG,2016
Kelvin,Marte,88.5344827586207,REG,2016
Maxwell,Scherzer,88.48995873452543,REG,2016
Jack,Shuck,88.461538461538467,REG,2016
Jonathan,Lester,88.4548306148056,REG,2016
Dennis,Wright,88.434980988593111,REG,2016
Ryan,Buchter,88.421372719374418,REG,2016
Lance,McCullers,88.41789940828393,REG,2016
John,Barbato,88.415254237288124,REG,2016
Robert,Gsellman,88.396174863387969,REG,2016
Jose,Valdez,88.395121951219508,REG,2016
Jo-Jo,Reyes,88.388888888888886,REG,2016
Cody,Allen,88.38601036269435,REG,2016
Adam,Ottavino,88.3777292576419,REG,2016
Richard,Hembree,88.375283446712046,REG,2016
William,Hughes,88.369819341126458,REG,2016
Tyler,Thornburg,88.35893011216568,REG,2016
Kyle,Barraclough,88.349042709867462,REG,2016
Patrick,Light,88.34864864864862,REG,2016
Michael,Foltynewicz,88.3480459770116,REG,2016
Wily,Peralta,88.309372156505916,REG,2016
Robert,Ross Jr.,88.301848049281247,REG,2016
Andrew,Faulkner,88.282258064516114,REG,2016
Pedro,Strop,88.274965800273563,REG,2016
Jeffrey,Wendelken,88.270072992700761,REG,2016
Matthew,Garza,88.263768115942113,REG,2016
Nicholas,Wittgren,88.262543757292917,REG,2016
Jesse,Chavez,88.25724319578579,REG,2016
Mychal,Givens,88.254275092936822,REG,2016
Alec,Mills,88.244186046511629,REG,2016
David,Rollins,88.22513089005237,REG,2016
Jacob,Smith,88.192982456140356,REG,2016
Daniel,Otero,88.18507462686577,REG,2016
Andrew,Cashner,88.181296144380568,REG,2016
Daniel,Duffy,88.132374100719375,REG,2016
Logan,Kensing,88.1038961038961,REG,2016
Ben,Heller,88.081871345029242,REG,2016
Mark,Melancon,88.07810993249764,REG,2016
Shelby,Miller,88.077746478873223,REG,2016
Anthony,Swarzak,88.070281124498,REG,2016
Michael,Pineda,88.069970845481,REG,2016
Cody,Hall,88.043478260869549,REG,2016
Severino,Gonzalez,88.022580645161284,REG,2016
Shane,Greene,88.005994005994026,REG,2016
Ryan,Madson,88.002906976744171,REG,2016
Kevin,Jepsen,88.001121076233161,REG,2016
Yimi,Garcia,87.977099236641237,REG,2016
Seung-Hwan,Oh,87.972850678733,REG,2016
Josh,Smoker,87.965779467680576,REG,2016
Jose,Ramirez,87.95439189189193,REG,2016
David,Phelps,87.941252420916754,REG,2016
Jordan,Lyles,87.934493346980517,REG,2016
James,Nelson,87.93324649951164,REG,2016
Fernando,Rodriguez,87.928257686676417,REG,2016
John,Younginer IV,87.926666666666648,REG,2016
Luis,Perdomo,87.924317617865924,REG,2016
Casey,Fien,87.905185185185175,REG,2016
Robert,Parnell,87.9029126213592,REG,2016
Dustin,Antolin,87.8809523809524,REG,2016
Michael,Tonkin,87.870481927710841,REG,2016
Grant,Dayton,87.854430379746816,REG,2016
David,Price,87.831590533847,REG,2016
Junior,Guerra,87.8307045215563,REG,2016
Luis,Garcia,87.8,REG,2016
Francisco,Liriano,87.758730158730089,REG,2016
Cody,Anderson,87.726377952755911,REG,2016
Silvino,Bracho,87.721276595744627,REG,2016
David,Hatcher,87.702366127023623,REG,2016
Joshua,Fields,87.684380032206093,REG,2016
Spencer,Patton,87.683417085427124,REG,2016
Curtis,Ohlendorf,87.653813196229621,REG,2016
Mark,Lowe,87.649659863945558,REG,2016
Sonny,Gray,87.648390342052352,REG,2016
Matthew,Harvey,87.621019108280237,REG,2016
Timothy,McFarland,87.6077922077922,REG,2016
Taijuan,Walker,87.59857082807909,REG,2016
